var,state,year,value,occupation_group
"Advertising, Public Relations and Sales Managers",base,2046,214.7005,O1 MANAGERS
"Advertising, Public Relations and Sales Managers",base,2047,217.7408,O1 MANAGERS
"Advertising, Public Relations and Sales Managers",base,2048,220.7971,O1 MANAGERS
"Advertising, Public Relations and Sales Managers",base,2049,223.8715,O1 MANAGERS
"Advertising, Public Relations and Sales Managers",base,2050,226.9657,O1 MANAGERS
Business Administration Managers,base,2020,169.121,O1 MANAGERS
Business Administration Managers,base,2021,168.2404,O1 MANAGERS
Business Administration Managers,base,2022,169.8403,O1 MANAGERS
Business Administration Managers,base,2023,171.1974,O1 MANAGERS
Business Administration Managers,base,2024,174.2895,O1 MANAGERS
Business Administration Managers,base,2025,176.7895,O1 MANAGERS
Business Administration Managers,base,2026,179.8006,O1 MANAGERS
Business Administration Managers,base,2027,182.8688,O1 MANAGERS
Business Administration Managers,base,2028,185.9523,O1 MANAGERS
Business Administration Managers,base,2029,189.0566,O1 MANAGERS
Business Administration Managers,base,2030,192.1688,O1 MANAGERS
Business Administration Managers,base,2031,195.2858,O1 MANAGERS
Business Administration Managers,base,2032,198.4052,O1 MANAGERS
Business Administration Managers,base,2033,201.5261,O1 MANAGERS
Business Administration Managers,base,2034,204.6475,O1 MANAGERS
Business Administration Managers,base,2035,207.7692,O1 MANAGERS
Business Administration Managers,base,2036,210.8912,O1 MANAGERS
Business Administration Managers,base,2037,214.0141,O1 MANAGERS
Business Administration Managers,base,2038,217.1419,O1 MANAGERS
Business Administration Managers,base,2039,220.2752,O1 MANAGERS
Business Administration Managers,base,2040,223.4146,O1 MANAGERS
Business Administration Managers,base,2041,226.5606,O1 MANAGERS
Business Administration Managers,base,2042,229.7142,O1 MANAGERS
Business Administration Managers,base,2043,232.8756,O1 MANAGERS
Business Administration Managers,base,2044,236.0459,O1 MANAGERS
Business Administration Managers,base,2045,239.2261,O1 MANAGERS
Business Administration Managers,base,2046,242.4171,O1 MANAGERS
Business Administration Managers,base,2047,245.6204,O1 MANAGERS
Business Administration Managers,base,2048,248.8378,O1 MANAGERS
Business Administration Managers,base,2049,252.0714,O1 MANAGERS
Business Administration Managers,base,2050,255.3231,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2020,261.457,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2021,252.1542,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2022,252.2524,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2023,254.3395,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2024,262.3074,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2025,270.0635,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2026,275.0569,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2027,280.1127,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2028,285.1721,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2029,290.2416,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2030,295.2945,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2031,300.3247,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2032,305.3274,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2033,310.3011,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2034,315.2441,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2035,320.1565,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2036,325.0389,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2037,329.893,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2038,334.7273,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2039,339.5441,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2040,344.345,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2041,349.1316,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2042,353.9064,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2043,358.671,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2044,363.4274,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2045,368.1785,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2046,372.9268,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2047,377.6751,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2048,382.4275,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2049,387.1884,O1 MANAGERS
"Construction, Distribution and Production Managers",base,2050,391.9614,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2020,83.1739,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2021,85.3733,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2022,85.7195,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2023,85.9229,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2024,86.6208,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2025,86.811,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2026,87.9043,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2027,89.0634,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2028,90.2268,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2029,91.3978,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2030,92.571,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2031,93.745,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2032,94.9185,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2033,96.0907,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2034,97.2604,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2035,98.4275,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2036,99.5917,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2037,100.7535,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2038,101.9137,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2039,103.0727,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2040,104.2305,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2041,105.38720000000001,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2042,106.5431,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2043,107.6983,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2044,108.8532,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2045,110.008,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2046,111.1631,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2047,112.319,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2048,113.4765,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2049,114.6362,O1 MANAGERS
"Education, Health and Welfare Services Managers",base,2050,115.799,O1 MANAGERS
ICT Managers,base,2020,62.7991,O1 MANAGERS
ICT Managers,base,2021,61.7078,O1 MANAGERS
ICT Managers,base,2022,62.8543,O1 MANAGERS
ICT Managers,base,2023,63.489,O1 MANAGERS
ICT Managers,base,2024,65.1019,O1 MANAGERS
ICT Managers,base,2025,66.6755,O1 MANAGERS
ICT Managers,base,2026,68.0383,O1 MANAGERS
ICT Managers,base,2027,69.3425,O1 MANAGERS
ICT Managers,base,2028,70.661,O1 MANAGERS
ICT Managers,base,2029,71.9872,O1 MANAGERS
